disease,symptoms,symptoms_text,expanded_symptoms,expanded_text,symptoms_count,precautions,precautions_text,precautions_count,search_text,display_text,doc_id
fungal infection,"['skin rash', 'itching', 'dischromic patches', 'nodal skin eruptions']",skin rash itching dischromic patches nodal skin eruptions,"['skin rash', 'itching', 'dischromic patches', 'nodal skin eruptions']",skin rash itching dischromic patches nodal skin eruptions,4,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",bath twice use detol or neem in bathing water keep infected area dry use clean cloths,4,fungal infection skin rash itching dischromic patches nodal skin eruptions bath twice use detol or neem in bathing water keep infected area dry use clean cloths,"Disease: Fungal Infection

Symptoms:
  1. skin rash
  2. itching
  3. dischromic patches
  4. nodal skin eruptions

Precautions:
  1. bath twice
  2. use detol or neem in bathing water
  3. keep infected area dry
  4. use clean cloths
",0
allergy,"['watering from eyes', 'chills', 'shivering', 'continuous sneezing']",watering from eyes chills shivering continuous sneezing,"['watering from eyes', 'continuous sneezing', 'shivering', 'chills']",watering from eyes continuous sneezing shivering chills,4,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']",apply calamine cover area with bandage use ice to compress itching,3,allergy watering from eyes continuous sneezing shivering chills apply calamine cover area with bandage use ice to compress itching,"Disease: Allergy

Symptoms:
  1. watering from eyes
  2. chills
  3. shivering
  4. continuous sneezing

Precautions:
  1. apply calamine
  2. cover area with bandage
  3. use ice to compress itching
",1
gerd,"['cough', 'ulcers on tongue', 'stomach pain', 'acidity', 'chest pain', 'vomiting']",cough ulcers on tongue stomach pain acidity chest pain vomiting,"['cough', 'ulcers on tongue', 'acidity', 'stomach pain', 'chest pain', 'vomiting']",cough ulcers on tongue acidity stomach pain chest pain vomiting,6,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",avoid fatty spicy food avoid lying down after eating maintain healthy weight exercise,4,gerd cough ulcers on tongue acidity stomach pain chest pain vomiting avoid fatty spicy food avoid lying down after eating maintain healthy weight exercise,"Disease: Gerd

Symptoms:
  1. cough
  2. ulcers on tongue
  3. stomach pain
  4. acidity
  5. chest pain
  6. vomiting

Precautions:
  1. avoid fatty spicy food
  2. avoid lying down after eating
  3. maintain healthy weight
  4. exercise
",2
chronic cholestasis,"['yellowing of eyes', 'yellowish skin', 'loss of appetite', 'nausea', 'vomiting', 'abdominal pain', 'itching']",yellowing of eyes yellowish skin loss of appetite nausea vomiting abdominal pain itching,"['yellowing of eyes', 'yellowish skin', 'loss of appetite', 'nausea', 'vomiting', 'abdominal pain', 'itching']",yellowing of eyes yellowish skin loss of appetite nausea vomiting abdominal pain itching,7,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",cold baths anti itch medicine consult doctor eat healthy,4,chronic cholestasis yellowing of eyes yellowish skin loss of appetite nausea vomiting abdominal pain itching cold baths anti itch medicine consult doctor eat healthy,"Disease: Chronic Cholestasis

Symptoms:
  1. yellowing of eyes
  2. yellowish skin
  3. loss of appetite
  4. nausea
  5. vomiting
  6. abdominal pain
  7. itching

Precautions:
  1. cold baths
  2. anti itch medicine
  3. consult doctor
  4. eat healthy
",3
drug reaction,"['skin rash', 'spotting urination', 'burning micturition', 'stomach pain', 'itching']",skin rash spotting urination burning micturition stomach pain itching,"['skin rash', 'spotting urination', 'burning micturition', 'stomach pain', 'itching']",skin rash spotting urination burning micturition stomach pain itching,5,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",stop irritation consult nearest hospital stop taking drug follow up,4,drug reaction skin rash spotting urination burning micturition stomach pain itching stop irritation consult nearest hospital stop taking drug follow up,"Disease: Drug Reaction

Symptoms:
  1. skin rash
  2. spotting urination
  3. burning micturition
  4. stomach pain
  5. itching

Precautions:
  1. stop irritation
  2. consult nearest hospital
  3. stop taking drug
  4. follow up
",4
peptic ulcer diseae,"['loss of appetite', 'internal itching', 'indigestion', 'vomiting', 'passage of gases', 'abdominal pain']",loss of appetite internal itching indigestion vomiting passage of gases abdominal pain,"['loss of appetite', 'internal itching', 'indigestion', 'vomiting', 'passage of gases', 'abdominal pain']",loss of appetite internal itching indigestion vomiting passage of gases abdominal pain,6,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",avoid fatty spicy food consume probiotic food eliminate milk limit alcohol,4,peptic ulcer diseae loss of appetite internal itching indigestion vomiting passage of gases abdominal pain avoid fatty spicy food consume probiotic food eliminate milk limit alcohol,"Disease: Peptic Ulcer Diseae

Symptoms:
  1. loss of appetite
  2. internal itching
  3. indigestion
  4. vomiting
  5. passage of gases
  6. abdominal pain

Precautions:
  1. avoid fatty spicy food
  2. consume probiotic food
  3. eliminate milk
  4. limit alcohol
",5
aids,"['muscle wasting', 'extra marital contacts', 'high fever', 'patches in throat']",muscle wasting extra marital contacts high fever patches in throat,"['muscle wasting', 'high fever', 'patches in throat', 'extra marital contacts']",muscle wasting high fever patches in throat extra marital contacts,4,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",avoid open cuts wear ppe if possible consult doctor follow up,4,aids muscle wasting high fever patches in throat extra marital contacts avoid open cuts wear ppe if possible consult doctor follow up,"Disease: Aids

Symptoms:
  1. muscle wasting
  2. extra marital contacts
  3. high fever
  4. patches in throat

Precautions:
  1. avoid open cuts
  2. wear ppe if possible
  3. consult doctor
  4. follow up
",6
diabetes,"['irregular sugar level', 'polyuria', 'fatigue', 'restlessness', 'lethargy', 'blurred and distorted vision', 'weight loss', 'obesity', 'excessive hunger', 'increased appetite']",irregular sugar level polyuria fatigue restlessness lethargy blurred and distorted vision weight loss obesity excessive hunger increased appetite,"['irregular sugar level', 'polyuria', 'fatigue', 'restlessness', 'lethargy', 'blurred and distorted vision', 'weight loss', 'obesity', 'excessive hunger', 'increased appetite']",irregular sugar level polyuria fatigue restlessness lethargy blurred and distorted vision weight loss obesity excessive hunger increased appetite,10,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",have balanced diet exercise consult doctor follow up,4,diabetes irregular sugar level polyuria fatigue restlessness lethargy blurred and distorted vision weight loss obesity excessive hunger increased appetite have balanced diet exercise consult doctor follow up,"Disease: Diabetes

Symptoms:
  1. irregular sugar level
  2. polyuria
  3. fatigue
  4. restlessness
  5. lethargy
  6. blurred and distorted vision
  7. weight loss
  8. obesity
  9. excessive hunger
  10. increased appetite

Precautions:
  1. have balanced diet
  2. exercise
  3. consult doctor
  4. follow up
",7
gastroenteritis,"['sunken eyes', 'dehydration', 'diarrhoea', 'vomiting']",sunken eyes dehydration diarrhoea vomiting,"['sunken eyes', 'dehydration', 'diarrhoea', 'vomiting']",sunken eyes dehydration diarrhoea vomiting,4,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",stop eating solid food for while try taking small sips of water rest ease back into eating,4,gastroenteritis sunken eyes dehydration diarrhoea vomiting stop eating solid food for while try taking small sips of water rest ease back into eating,"Disease: Gastroenteritis

Symptoms:
  1. sunken eyes
  2. dehydration
  3. diarrhoea
  4. vomiting

Precautions:
  1. stop eating solid food for while
  2. try taking small sips of water
  3. rest
  4. ease back into eating
",8
bronchial asthma,"['cough', 'fatigue', 'family history', 'breathlessness', 'high fever', 'mucoid sputum']",cough fatigue family history breathlessness high fever mucoid sputum,"['cough', 'fatigue', 'family history', 'breathlessness', 'high fever', 'mucoid sputum']",cough fatigue family history breathlessness high fever mucoid sputum,6,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",switch to loose cloothing take deep breaths get away from trigger seek help,4,bronchial asthma cough fatigue family history breathlessness high fever mucoid sputum switch to loose cloothing take deep breaths get away from trigger seek help,"Disease: Bronchial Asthma

Symptoms:
  1. cough
  2. fatigue
  3. family history
  4. breathlessness
  5. high fever
  6. mucoid sputum

Precautions:
  1. switch to loose cloothing
  2. take deep breaths
  3. get away from trigger
  4. seek help
",9
